OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
152,11/30/1962 0:00:00,Navajo Reservoir,9109090,62115,6050,36.806420000000003,-107.609369999999998
153,12/1/1962 0:00:00,Navajo Reservoir,9109090,62291,6050,36.806420000000003,-107.609369999999998
154,12/2/1962 0:00:00,Navajo Reservoir,9109090,62645,6050,36.806420000000003,-107.609369999999998
155,12/3/1962 0:00:00,Navajo Reservoir,9109090,63176,6050,36.806420000000003,-107.609369999999998
156,12/4/1962 0:00:00,Navajo Reservoir,9109090,63705,6050,36.806420000000003,-107.609369999999998
157,12/5/1962 0:00:00,Navajo Reservoir,9109090,64059,6050,36.806420000000003,-107.609369999999998
158,12/6/1962 0:00:00,Navajo Reservoir,9109090,64589,6050,36.806420000000003,-107.609369999999998
159,12/7/1962 0:00:00,Navajo Reservoir,9109090,65120,6050,36.806420000000003,-107.609369999999998
160,12/8/1962 0:00:00,Navajo Reservoir,9109090,65474,6050,36.806420000000003,-107.609369999999998
161,12/9/1962 0:00:00,Navajo Reservoir,9109090,65650,6050,36.806420000000003,-107.609369999999998
162,12/10/1962 0:00:00,Navajo Reservoir,9109090,65828,6050,36.806420000000003,-107.609369999999998
163,12/11/1962 0:00:00,Navajo Reservoir,9109090,66357,6050,36.806420000000003,-107.609369999999998
164,12/12/1962 0:00:00,Navajo Reservoir,9109090,66711,6050,36.806420000000003,-107.609369999999998
165,12/13/1962 0:00:00,Navajo Reservoir,9109090,67065,6050,36.806420000000003,-107.609369999999998
166,12/14/1962 0:00:00,Navajo Reservoir,9109090,67241,6050,36.806420000000003,-107.609369999999998
167,12/15/1962 0:00:00,Navajo Reservoir,9109090,67419,6050,36.806420000000003,-107.609369999999998
168,12/16/1962 0:00:00,Navajo Reservoir,9109090,67595,6050,36.806420000000003,-107.609369999999998
169,12/17/1962 0:00:00,Navajo Reservoir,9109090,67772,6050,36.806420000000003,-107.609369999999998
170,12/18/1962 0:00:00,Navajo Reservoir,9109090,68302,6050,36.806420000000003,-107.609369999999998
171,12/19/1962 0:00:00,Navajo Reservoir,9109090,68480,6050,36.806420000000003,-107.609369999999998
172,12/20/1962 0:00:00,Navajo Reservoir,9109090,68834,6050,36.806420000000003,-107.609369999999998
173,12/21/1962 0:00:00,Navajo Reservoir,9109090,69186,6050,36.806420000000003,-107.609369999999998
174,12/22/1962 0:00:00,Navajo Reservoir,9109090,69363,6050,36.806420000000003,-107.609369999999998
175,12/23/1962 0:00:00,Navajo Reservoir,9109090,69717,6050,36.806420000000003,-107.609369999999998
176,12/24/1962 0:00:00,Navajo Reservoir,9109090,69893,6050,36.806420000000003,-107.609369999999998
177,12/25/1962 0:00:00,Navajo Reservoir,9109090,70071,6050,36.806420000000003,-107.609369999999998
178,12/26/1962 0:00:00,Navajo Reservoir,9109090,70247,6050,36.806420000000003,-107.609369999999998
179,12/27/1962 0:00:00,Navajo Reservoir,9109090,70424,6050,36.806420000000003,-107.609369999999998
180,12/28/1962 0:00:00,Navajo Reservoir,9109090,70601,6050,36.806420000000003,-107.609369999999998
181,12/29/1962 0:00:00,Navajo Reservoir,9109090,70601,6050,36.806420000000003,-107.609369999999998
182,12/30/1962 0:00:00,Navajo Reservoir,9109090,70601,6050,36.806420000000003,-107.609369999999998
183,12/31/1962 0:00:00,Navajo Reservoir,9109090,70601,6050,36.806420000000003,-107.609369999999998
184,1/1/1963 0:00:00,Navajo Reservoir,9109090,70778,6050,36.806420000000003,-107.609369999999998
185,1/2/1963 0:00:00,Navajo Reservoir,9109090,70778,6050,36.806420000000003,-107.609369999999998
186,1/3/1963 0:00:00,Navajo Reservoir,9109090,70778,6050,36.806420000000003,-107.609369999999998
187,1/4/1963 0:00:00,Navajo Reservoir,9109090,70954,6050,36.806420000000003,-107.609369999999998
188,1/5/1963 0:00:00,Navajo Reservoir,9109090,71308,6050,36.806420000000003,-107.609369999999998
189,1/6/1963 0:00:00,Navajo Reservoir,9109090,71838,6050,36.806420000000003,-107.609369999999998
190,1/7/1963 0:00:00,Navajo Reservoir,9109090,72015,6050,36.806420000000003,-107.609369999999998
191,1/8/1963 0:00:00,Navajo Reservoir,9109090,72545,6050,36.806420000000003,-107.609369999999998
192,1/9/1963 0:00:00,Navajo Reservoir,9109090,72899,6050,36.806420000000003,-107.609369999999998
193,1/10/1963 0:00:00,Navajo Reservoir,9109090,73253,6050,36.806420000000003,-107.609369999999998
194,1/11/1963 0:00:00,Navajo Reservoir,9109090,73606,6050,36.806420000000003,-107.609369999999998
195,1/12/1963 0:00:00,Navajo Reservoir,9109090,73606,6050,36.806420000000003,-107.609369999999998
196,1/13/1963 0:00:00,Navajo Reservoir,9109090,73784,6050,36.806420000000003,-107.609369999999998
197,1/14/1963 0:00:00,Navajo Reservoir,9109090,73960,6050,36.806420000000003,-107.609369999999998
198,1/15/1963 0:00:00,Navajo Reservoir,9109090,74138,6050,36.806420000000003,-107.609369999999998
199,1/16/1963 0:00:00,Navajo Reservoir,9109090,74313,6050,36.806420000000003,-107.609369999999998
200,1/17/1963 0:00:00,Navajo Reservoir,9109090,74667,6050,36.806420000000003,-107.609369999999998
201,1/18/1963 0:00:00,Navajo Reservoir,9109090,75021,6050,36.806420000000003,-107.609369999999998
202,1/19/1963 0:00:00,Navajo Reservoir,9109090,75197,6050,36.806420000000003,-107.609369999999998
203,1/20/1963 0:00:00,Navajo Reservoir,9109090,75197,6050,36.806420000000003,-107.609369999999998
204,1/21/1963 0:00:00,Navajo Reservoir,9109090,75375,6050,36.806420000000003,-107.609369999999998
205,1/22/1963 0:00:00,Navajo Reservoir,9109090,75375,6050,36.806420000000003,-107.609369999999998
206,1/23/1963 0:00:00,Navajo Reservoir,9109090,75728,6050,36.806420000000003,-107.609369999999998
207,1/24/1963 0:00:00,Navajo Reservoir,9109090,75905,6050,36.806420000000003,-107.609369999999998
208,1/25/1963 0:00:00,Navajo Reservoir,9109090,76436,6050,36.806420000000003,-107.609369999999998
