STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
04,1502,15020002,Upper Little Colorado,1985,0.390,0.03,0.00,0.03,77.00,0.75,0.78,125.00,,,,,,,,,,,,
35,1502,15020002,Upper Little Colorado,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1502,15020003,Carrizo Wash,1985,0.020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1502,15020003,Carrizo Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1502,15020004,Zuni,1985,3.460,0.24,0.00,0.24,61.00,0.43,0.66,60.14,,,,,,,,,,,,
04,1502,15020004,Zuni,1985,0.240,0.01,0.00,0.01,41.67,0.00,0.01,41.67,,,,,,,,,,,,
04,1502,15020005,Silver,1985,0.000,0.00,0.00,0.00,0.00,3.16,3.16,134.99,,,,,,,,,,,,
04,1502,15020006,Upper Puerco,1985,1.200,0.10,0.00,0.10,75.00,0.94,1.04,77.11,,,,,,,,,,,,
35,1502,15020006,Upper Puerco,1985,16.910,1.13,0.00,1.13,60.00,3.64,4.78,115.60,,,,,,,,,,,,
04,1502,15020007,Lower Puerco,1985,2.010,0.12,0.00,0.12,54.73,0.00,0.12,54.73,,,,,,,,,,,,
04,1502,15020008,Middle Little Colorado,1985,0.000,0.00,0.00,0.00,0.00,2.53,2.53,136.06,,,,,,,,,,,,
04,1502,15020009,Leroux Wash,1985,1.530,0.04,0.00,0.04,26.00,0.02,0.07,27.40,,,,,,,,,,,,
04,1502,15020010,Chevelon Canyon,1985,0.000,0.00,0.00,0.00,0.00,0.09,0.09,150.94,,,,,,,,,,,,
04,1502,15020011,Cottonwood Wash,1985,4.720,0.16,0.00,0.16,30.00,0.16,0.31,32.60,,,,,,,,,,,,
04,1502,15020012,Corn-Oraibi,1985,0.540,0.02,0.00,0.02,37.00,0.06,0.08,31.96,,,,,,,,,,,,
04,1502,15020013,Polacca Wash,1985,3.550,0.18,0.00,0.18,45.00,0.25,0.43,47.26,,,,,,,,,,,,
04,1502,15020014,Jadito Wash,1985,0.220,0.01,0.00,0.01,45.00,0.30,0.31,64.67,,,,,,,,,,,,
04,1502,15020015,Canyon Diablo,1985,0.000,0.00,0.00,0.00,0.00,5.16,5.16,99.70,,,,,,,,,,,,
04,1502,15020016,Lower Little Colorado,1985,1.400,0.04,0.00,0.04,29.00,0.07,0.11,30.12,,,,,,,,,,,,
04,1502,15020017,Dinnebito Wash,1985,0.320,0.01,0.00,0.01,31.00,0.29,0.30,167.70,,,,,,,,,,,,
04,1502,15020018,Moenkopi Wash,1985,0.460,0.03,0.00,0.03,65.00,0.96,1.00,59.18,,,,,,,,,,,,
04,1503,15030101,Havasu-Mohave Lake,1985,5.160,1.01,0.00,1.01,174.00,11.29,12.30,262.06,,,,,,,,,,,,
