STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
49,1501,15010010,Lower Virgin,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
32,1501,15010011,White,1985,15.22,23.55,38.78,25.93,1.74,1.19,0.00,9.44,10.63,0.00,--
32,1501,15010012,Muddy,1985,2.63,10.63,13.26,8.88,0.59,0.36,0.00,1.76,2.12,0.00,--
32,1501,15010013,Meadow Valley Wash,1985,12.89,19.06,31.95,21.37,1.42,1.08,0.00,6.28,7.36,0.00,--
49,1501,15010013,Meadow Valley Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1501,15010014,Detrital Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
32,1501,15010015,Las Vegas Wash,1985,4.75,4.81,9.56,8.60,0.95,2.52,0.00,0.63,3.15,4.62,--
04,1502,15020001,Little Colorado Headwaters,1985,1.00,12.75,13.74,10.04,3.44,0.00,0.00,6.70,6.70,0.00,--
35,1502,15020001,Little Colorado Headwaters,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020002,Upper Little Colorado,1985,2.89,12.75,15.64,12.25,3.65,0.00,0.00,15.50,15.50,0.52,--
35,1502,15020002,Upper Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
35,1502,15020003,Carrizo Wash,1985,0.00,0.53,0.53,0.17,0.00,0.00,0.00,0.16,0.16,0.00,--
04,1502,15020003,Carrizo Wash,1985,0.92,0.00,0.92,0.70,0.22,0.00,0.00,0.15,0.15,0.00,--
35,1502,15020004,Zuni,1985,0.00,8.60,8.60,2.70,0.00,0.00,0.00,1.56,1.56,0.00,--
04,1502,15020004,Zuni,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020005,Silver,1985,5.24,1.00,6.23,4.67,1.56,0.00,0.00,3.00,3.00,0.00,--
04,1502,15020006,Upper Puerco,1985,0.00,1.00,1.00,0.75,0.25,0.00,0.00,0.20,0.20,0.00,--
35,1502,15020006,Upper Puerco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020007,Lower Puerco,1985,0.41,0.00,0.41,0.31,0.10,0.00,0.00,0.20,0.20,0.00,--
04,1502,15020008,Middle Little Colorado,1985,3.21,0.00,3.21,2.80,0.40,0.00,0.00,1.50,1.50,0.90,--
04,1502,15020009,Leroux Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020010,Chevelon Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020011,Cottonwood Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020012,Corn-Oraibi,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020013,Polacca Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020014,Jadito Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020015,Canyon Diablo,1985,0.04,0.00,0.04,0.02,0.00,0.00,0.00,0.02,0.02,1.21,--
04,1502,15020016,Lower Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1502,15020017,Dinnebito Wash,1985,0.50,0.10,0.61,0.45,0.15,0.00,0.00,1.09,1.09,0.00,--
04,1502,15020018,Moenkopi Wash,1985,0.00,0.50,0.50,0.38,0.12,0.00,0.00,0.50,0.50,0.01,--
04,1503,15030101,Havasu-Mohave Lake,1985,22.43,38.13,60.56,4.17,5.56,0.00,0.00,12.00,12.00,1.42,--
32,1503,15030101,Havasu-Mohave Lake,1985,1.57,0.00,1.57,1.05,0.08,0.04,0.00,0.21,0.25,0.45,--
