STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,PS-ToPop,PS-WGWTo,PS-WSWTo,PS-WTotl,PS-DelDO,PS-DelCO,PS-DelIN,PS-DelPT,PS-DelTO,,,,,,,,,,
35,1502,15020001,Little Colorado Headwaters,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1502,15020002,Upper Little Colorado,1985,5.210,0.75,0.00,0.75,0.75,0.00,0.00,0.00,0.75,,,,,,,,,,
35,1502,15020002,Upper Little Colorado,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1502,15020003,Carrizo Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1502,15020003,Carrizo Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1502,15020004,Zuni,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1502,15020004,Zuni,1985,6.350,0.43,0.00,0.43,0.43,0.00,0.00,0.00,0.43,,,,,,,,,,
04,1502,15020005,Silver,1985,20.890,3.51,0.00,3.51,3.16,0.35,0.00,0.00,3.51,,,,,,,,,,
04,1502,15020006,Upper Puerco,1985,10.860,1.17,0.00,1.17,0.94,0.22,0.00,0.00,1.17,,,,,,,,,,
35,1502,15020006,Upper Puerco,1985,19.940,3.64,0.00,3.64,3.64,0.00,0.00,0.00,3.64,,,,,,,,,,
04,1502,15020007,Lower Puerco,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1502,15020008,Middle Little Colorado,1985,16.610,2.66,0.00,2.66,2.53,0.12,0.00,0.00,2.66,,,,,,,,,,
04,1502,15020009,Leroux Wash,1985,0.660,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.02,,,,,,,,,,
04,1502,15020010,Chevelon Canyon,1985,0.530,0.09,0.00,0.09,0.09,0.00,0.00,0.00,0.09,,,,,,,,,,
04,1502,15020011,Cottonwood Wash,1985,3.870,0.16,0.00,0.16,0.16,0.00,0.00,0.00,0.16,,,,,,,,,,
04,1502,15020012,Corn-Oraibi,1985,1.650,0.06,0.00,0.06,0.06,0.00,0.00,0.00,0.06,,,,,,,,,,
04,1502,15020013,Polacca Wash,1985,4.490,0.25,0.00,0.25,0.25,0.00,0.00,0.00,0.25,,,,,,,,,,
04,1502,15020014,Jadito Wash,1985,4.110,0.30,0.00,0.30,0.30,0.00,0.00,0.00,0.30,,,,,,,,,,
04,1502,15020015,Canyon Diablo,1985,46.140,3.59,4.53,8.12,5.16,2.96,0.00,0.00,8.12,,,,,,,,,,
04,1502,15020016,Lower Little Colorado,1985,1.920,0.07,0.00,0.07,0.07,0.00,0.00,0.00,0.07,,,,,,,,,,
04,1502,15020017,Dinnebito Wash,1985,1.290,0.29,0.00,0.29,0.29,0.00,0.00,0.00,0.29,,,,,,,,,,
04,1502,15020018,Moenkopi Wash,1985,14.580,1.12,0.00,1.12,0.96,0.08,0.08,0.00,1.12,,,,,,,,,,
04,1503,15030101,Havasu-Mohave Lake,1985,36.700,4.17,9.00,13.17,11.29,1.88,0.00,0.00,13.17,,,,,,,,,,
06,1503,15030101,Havasu-Mohave Lake,1985,6.930,2.03,0.34,2.37,1.45,0.55,0.03,0.00,2.03,,,,,,,,,,
32,1503,15030101,Havasu-Mohave Lake,1985,2.060,1.01,1.05,2.06,1.64,0.17,0.00,1.63,3.43,,,,,,,,,,
06,1503,15030102,Piute Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
32,1503,15030102,Piute Wash,1985,0.510,0.18,0.00,0.18,0.16,0.01,0.00,0.00,0.17,,,,,,,,,,
04,1503,15030103,Sacramento Wash,1985,5.250,0.67,0.00,0.67,0.64,0.03,0.00,0.00,0.67,,,,,,,,,,
04,1503,15030104,Imperial Reservoir,1985,4.100,0.85,1.14,2.00,1.48,0.52,0.00,0.00,2.00,,,,,,,,,,
06,1503,15030104,Imperial Reservoir,1985,17.000,7.12,0.17,7.29,4.45,0.00,0.00,0.00,4.45,,,,,,,,,,
04,1503,15030105,Bouse Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1503,15030106,Tyson Wash,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1503,15030107,Lower Colorado,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
06,1503,15030107,Lower Colorado,1985,2.140,0.03,0.58,0.62,0.37,1.82,0.18,0.00,2.37,,,,,,,,,,
04,1503,15030108,Yuma Desert,1985,53.600,1.15,9.79,10.94,6.64,4.30,0.00,0.00,10.94,,,,,,,,,,
04,1503,15030201,Big Sandy,1985,0.150,0.02,0.00,0.02,0.02,0.00,0.00,0.00,0.02,,,,,,,,,,
04,1503,15030202,Burro,1985,3.000,0.25,0.50,0.75,0.75,0.00,0.00,0.00,0.75,,,,,,,,,,
04,1503,15030203,Santa Maria,1985,3.450,0.68,0.00,0.68,0.62,0.03,0.03,0.00,0.68,,,,,,,,,,
04,1503,15030204,Bill Williams,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1504,15040001,Upper Gila,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
04,1504,15040002,Upper Gila-Mangas,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
35,1504,15040002,Upper Gila-Mangas,1985,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,
