STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IN-WGWFr,IN-WGWSa,IN-WGWTo,IN-WSWFr,IN-WSWSa,IN-WSWTo,IN-WFrTo,IN-WSaTo,IN-WTotl,
49,1401,14010005,Colorado Headwaters-Plateau,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1401,14010006,Parachute-Roan,1990,0.21,0.00,0.21,0.09,0.00,0.09,0.30,0.00,0.30,
08,1402,14020001,East-Taylor,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020002,Upper Gunnison,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020003,Tomichi,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020004,North Fork Gunnison,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1402,14020005,Lower Gunnison,1990,0.01,0.00,0.01,0.01,0.00,0.01,0.02,0.00,0.02,
08,1402,14020006,Uncompahgre,1990,0.38,0.00,0.38,0.16,0.00,0.16,0.54,0.00,0.54,
08,1403,14030001,Westwater Canyon,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030001,Westwater Canyon,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030002,Upper Dolores,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030002,Upper Dolores,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030003,San Miguel,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1403,14030004,Lower Dolores,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030004,Lower Dolores,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1403,14030005,Upper Colorado-Kane Springs,1990,0.09,0.00,0.09,0.00,0.00,0.00,0.09,0.00,0.09,
08,1403,14030005,Upper Colorado-Kane Springs,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040101,Upper Green,1990,0.03,0.00,0.03,0.01,0.00,0.01,0.04,0.00,0.04,
56,1404,14040102,New Fork,1990,0.02,0.00,0.02,0.02,0.00,0.02,0.04,0.00,0.04,
56,1404,14040103,Upper Green-Slate,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040104,Big Sandy,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040105,Bitter,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
56,1404,14040107,Blacks Fork,1990,0.10,0.00,0.10,0.07,0.00,0.07,0.17,0.00,0.17,
